Country Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,8.3465,7.5276,8.0661,7.932,7.2491,7.0541,7.9308,8.2599,8.7073
American Samoa,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Australia,400.5424,408.5061,410.8371,409.2067,407.8604,392.5191,384.6772,374.8785,373.6164
Bangladesh,85.4306,93.9764,101.0249,105.485,108.0751,102.4575,116.6813,124.0779,124.7934
Bhutan,1.3047,1.4193,1.5444,1.7949,1.9641,1.7369,1.8703,1.9267,1.9867
Brunei Darussalam,7.3651,7.8992,7.8714,8.0301,7.6033,9.9037,9.7462,9.4485,9.7161
Cambodia,8.514,10.5911,11.8487,12.3359,15.8551,16.5998,16.7775,17.3545,17.9701
China,10776.9127,10805.0515,11037.1271,11572.4164,11850.5929,12022.433,12621.6147,12526.8263,13259.639
Fiji,1.6164,1.5918,1.7498,1.8451,1.9181,1.9348,2.0281,2.1386,2.2105
French Polynesia,1.0053,1.0075,1.0051,1.0505,1.084,1.0998,1.1533,1.2173,1.259
Guam,0.0002,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004
"Hong Kong SAR, China",44.2454,45.0793,44.1347,44.059,43.5082,35.156,35.0751,32.6269,34.6728
India,2260.1314,2303.3619,2433.7831,2573.1194,2542.0351,2318.9477,2548.4833,2740.8206,2955.1817
Indonesia,512.4074,507.0768,535.7172,597.4767,637.3101,594.2634,619.3274,656.6692,674.5359
Japan,1235.4187,1232.8769,1217.8484,1179.2176,1139.4974,1072.1695,1084.9216,1009.9787,944.7586
Kiribati,0.0623,0.0678,0.0789,0.0806,0.0838,0.0851,0.0893,0.0942,0.0974
"Korea, Dem. People's Rep.",32.7393,36.0975,73.5985,66.427,73.3791,69.0808,57.2745,59.4652,64.2745
"Korea, Rep.",642.6906,659.8856,667.8613,670.5627,651.1218,614.2017,631.0712,587.8176,573.5357
Lao PDR,8.9274,15.8709,19.2441,19.8621,19.3699,19.4378,23.8166,24.5509,26.0208
"Macao SAR, China",2.7588,2.6257,3.1925,2.5055,2.706,2.8705,2.8037,2.9203,3.0124
Malaysia,252.9286,247.5683,237.8645,254.3612,255.2071,253.3934,258.9144,274.3424,283.3235
Maldives,1.5883,1.7337,1.8352,2.1298,2.4708,2.5121,2.6342,2.7808,2.8763
Marshall Islands,0,0,0,0,0,0,0,0,0
"Micronesia, Fed. Sts.",0,0,0,0,0,0,0,0,0
Mongolia,18.0236,19.1139,21.0719,22.9527,25.331,22.5104,24.8485,25.8905,28.1171
Myanmar,19.7351,22.9673,33.7349,33.5019,34.372,34.7061,31.8262,32.3925,33.3684
Nauru,0,0,0,0,0,0,0,0,0
Nepal,7.3215,10.7633,13.199,14.8887,13.4603,16.4554,16.5911,17.2219,17.9338
New Caledonia,4.4998,4.8087,4.6821,6.1632,6.2238,6.455,5.6077,5.8818,6.2086
New Zealand,35.3169,34.6713,36.1985,35.8408,37.3026,35.258,35.2696,34.6009,35.7951
Northern Mariana Islands,0,0,0,0,0,0,0,0,0
Pakistan,178.2548,196.7683,213.2665,202.283,198.9723,222.4719,236.7437,218.6802,200.5101
Palau,1.1953,1.1443,1.1963,1.2305,1.2683,1.2764,1.329,1.3981,1.4396
Papua New Guinea,5.9729,6.62,6.5045,6.7603,7.1328,5.9631,5.5583,5.8126,5.9518
Philippines,113.1619,121.2734,135.6224,141.3123,147.8971,135.8002,145.5867,150.6387,161.2883
Samoa,0.3287,0.3541,0.3613,0.3584,0.4026,0.4092,0.4291,0.4529,0.4684
Singapore,55.1877,52.9839,56.8976,54.2252,55.9024,53.8793,55.6895,55.7572,57.0683
Solomon Islands,0.3336,0.3236,0.3331,0.3544,0.3603,0.3659,0.3837,0.405,0.4188
Sri Lanka,19.7083,23.4839,23.4079,21.9799,23.9714,22.1594,22.7231,19.9802,20.518
Thailand,279.7376,276.0079,276.9396,274.5858,284.4396,274.439,267.4912,275.8689,274.16
Timor-Leste,0.6952,0.6608,0.6883,0.6803,0.6546,0.6499,0.6658,0.7121,0.7029
Tonga,0.1347,0.1432,0.1768,0.1573,0.189,0.1922,0.2015,0.2127,0.22
Tuvalu,0,0,0,0,0,0,0,0,0
Vanuatu,0.1592,0.1659,0.1899,0.2483,0.247,0.2509,0.2631,0.2778,0.2873
Viet Nam,200.7053,224.4548,230.4037,283.8603,338.946,352.0639,341.1051,324.9007,372.9485
