Country Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,..,..,..,..,..,36.28907741,37.06956358,54.50542721,50.49820699
American Samoa,98.81129272,95.23099851,102.2875817,103.599374,94.89953632,95.14563107,92.53333333,77.72675086,..
Australia,21.59780564,21.69533522,20.94711419,21.84197454,22.0278239,20.63771691,18.24580429,20.2901822,22.42594293
Bangladesh,24.74932252,17.41294565,17.17998378,19.83984378,18.48329716,15.82865931,17.0612258,20.89774084,17.82580758
Bhutan,58.10306946,49.26191894,48.34199363,50.55000115,44.66601342,43.7647155,48.38370761,60.07237658,..
Brunei Darussalam,37.68317679,37.74202405,35.60355377,41.96482189,50.56361789,52.93489227,66.9542018,60.58460923,60.02817343
Cambodia,66.1283765,66.27271788,64.85539763,62.96625806,60.2898111,62.18359841,73.81881187,73.66657208,67.31417634
China,18.11008945,17.31003496,17.94013625,18.45368057,17.48010372,16.1681565,17.35801703,17.55999902,17.57369904
Fiji,52.35229317,50.5272493,51.00609752,55.4866242,58.95056181,44.5140022,54.47188057,69.3324441,..
French Polynesia,36.01670356,34.00386083,35.02073207,44.0354941,42.71375337,35.15013824,38.53480704,46.13414366,..
Guam,53.26780479,51.44890696,50.29103609,53.71013056,55.81431943,57.26842461,58.74238049,63.97973951,..
"Hong Kong SAR, China",193.5083476,184.7221029,187.8932671,188.5532665,176.092206,174.3752226,198.4454177,190.3938118,176.0387792
India,22.10972471,20.9242508,21.95073212,23.68914073,21.24113863,19.0756284,24.02393045,26.76483213,24.07363871
Indonesia,20.77746098,18.33234795,19.17819264,22.07156246,19.03624974,15.64100712,18.78820264,20.96215448,19.56908499
Japan,17.99064852,15.25227761,16.83177447,18.2949862,17.75289168,15.79727763,18.64600665,25.30200902,23.35210391
Kiribati,95.93166096,94.65250411,87.30493574,74.3157394,83.33164722,67.30709776,69.73309161,93.11292364,92.37713659
"Korea, Dem. People's Rep.",..,..,..,..,..,..,..,..,..
"Korea, Rep.",36.14293286,33.47115855,36.18671087,37.27557467,36.4812779,32.67445454,38.32222742,48.26464507,43.94400932
Lao PDR,51.8460644,41.88246346,..,..,..,..,..,..,..
"Macao SAR, China",39.9916043,35.54298115,34.39157626,33.19551901,31.99667072,60.03230092,76.75032066,83.69084876,50.65172421
Malaysia,61.92138155,60.12356457,63.14343086,61.84765408,57.75079519,55.21024653,63.40293914,69.65522964,63.4824063
Maldives,67.2927179,72.76657921,72.85266211,76.04282793,71.61181292,66.12070329,66.50831158,79.57264484,75.65028787
Marshall Islands,94.24763201,79.83305253,86.03233505,88.7565,115.9458566,72.33751034,71.22734647,78.01767956,71.24978789
"Micronesia, Fed. Sts.",78.23146963,74.61227692,72.58091922,67.03321429,69.05525381,68.22551075,67.50597436,63.79855814,67.53682609
Mongolia,45.46961324,50.18304317,56.7662226,68.19109096,65.17928144,55.1782979,60.54921448,71.26657879,66.60712947
Myanmar,..,..,..,..,..,..,..,..,..
Nauru,129.1620108,98.02844028,82.44089943,85.83680657,95.6494332,91.51209555,79.94361529,111.0571675,98.69316767
Nepal,36.4511418,33.93590808,36.83022197,40.63174592,41.46959011,34.11357577,37.93463331,42.27101061,34.68245023
New Caledonia,41.97762981,38.76412976,37.92038453,..,..,..,..,..,..
New Zealand,26.93571185,25.82244055,26.60289484,27.91526359,27.11413758,22.25359155,26.21234684,29.69209342,26.94940473
Northern Mariana Islands,69.78021978,81.13821138,62.11538462,58.03228286,62.25614928,64.20323326,72.86652079,70.89416058,..
Pakistan,16.71361359,15.96486227,17.25042394,19.04425666,19.51471242,17.41772142,17.9788211,22.49076283,18.12037464
Palau,78.09036881,78.2189804,81.56158964,74.91702858,77.14556097,83.71230305,73.95908826,74.27434987,..
Papua New Guinea,..,..,..,..,..,..,..,..,..
Philippines,31.93353487,35.10306242,38.61607889,41.94979293,40.45892225,32.96672099,37.7325749,44.04228206,40.74292866
Samoa,47.49340828,46.43379715,44.34880529,46.96929023,48.29774944,48.28764013,49.20319561,52.71679771,61.90368097
Singapore,151.0867904,138.5073812,145.1902735,148.4928557,146.7703413,150.1354407,146.7744416,147.224337,136.9401885
Solomon Islands,47.827893,45.82102076,43.51839073,46.36844113,46.5014357,32.28184196,39.46451645,51.74918784,..
Sri Lanka,27.02458699,26.64750098,26.91620976,28.36314814,27.60199296,21.63147805,24.30855639,25.12241846,22.16911204
Thailand,57.20297188,53.50434332,54.21859497,56.00376783,50.17062409,46.30631664,58.59226588,67.49347955,63.688566
Timor-Leste,57.02661364,57.15419888,56.22573946,61.88765136,49.39992632,48.08409636,36.35227577,42.00986787,66.37510374
Tonga,64.41405101,63.22904854,65.86735896,66.07359775,67.54910377,63.36756891,55.09175141,63.75558994,..
Tuvalu,..,..,..,..,..,..,..,..,..
Vanuatu,67.01357068,60.67739384,57.86445215,56.74393681,49.03769195,47.26815275,52.45474559,55.45934852,..
Viet Nam,71.99137636,71.30222172,79.21756182,80.24048069,79.54662762,78.86426481,92.82562571,89.97790268,79.14687306
