Country Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035
American Samoa,72.654,72.64,72.801,72.794,72.751,72.672,72.708,72.752,72.852
Australia,82.4,82.44878049,82.5,82.74878049,82.9,83.2,83.3,83.2,83.05121951
Bangladesh,70.543,71.075,71.606,72.122,72.625,71.421,71.103,74.265,74.672
Bhutan,70.797,71.119,71.413,71.711,72.005,72.253,72.448,72.754,72.975
Brunei Darussalam,74.88,74.905,74.943,74.992,75.049,75.114,74.869,72.917,75.327
Cambodia,69.398,69.635,69.842,69.993,70.127,70.059,69.301,70.528,70.668
China,76.975,77.214,77.235,77.709,77.94,78.019,78.117,78.202,77.953
Fiji,66.48,66.657,67.06,66.965,67.009,66.924,64.904,67.148,67.316
French Polynesia,82.339,82.555,82.774,82.985,83.195,82.459,79.571,83.859,84.07
Guam,76.444,76.449,76.463,76.561,76.645,75.529,75.434,77.102,77.209
"Hong Kong SAR, China",84.25268293,84.21146341,84.69560976,84.8697561,85.15585366,85.49634146,85.53268293,83.66097561,85.24731707
India,69.326,69.709,70.068,70.415,70.746,70.156,67.282,71.698,72.003
Indonesia,69.52,69.733,69.953,70.08,70.349,68.817,67.452,70.925,71.146
Japan,83.79390244,83.98487805,84.0997561,84.21097561,84.35634146,84.56,84.44560976,83.99634146,84.04121951
Kiribati,65.831,65.799,65.787,65.807,65.866,65.205,64.148,66.269,66.473
"Korea, Dem. People's Rep.",72.825,72.971,73.034,73.02,72.928,72.783,73.437,73.641,73.642
"Korea, Rep.",82.02439024,82.27560976,82.62682927,82.62682927,83.22682927,83.42682927,83.52682927,82.6804878,83.42926829
Lao PDR,66.688,67.014,67.345,67.594,67.911,68.339,67.807,68.715,68.964
"Macao SAR, China",83.22439024,83.27560976,83.52682927,83.67804878,83.92926829,84.12926829,83.72926829,83.0804878,83.1804878
Malaysia,75.288,75.371,75.542,75.734,75.9,76.057,73.917,75.444,76.657
Maldives,78.607,78.913,79.228,79.433,79.707,78.713,78.052,80.76,81.041
Marshall Islands,65.292,65.477,65.673,65.87,66.047,65.387,65.421,66.725,66.945
"Micronesia, Fed. Sts.",65.306,65.576,65.761,65.943,66.196,65.878,66.152,66.961,67.198
Mongolia,70.8102439,70.22390244,70.54341463,70.82707317,71.05317073,71.34902439,71.64512195,71.90073171,72.12243902
Myanmar,65.288,65.64,65.909,66.232,66.457,66.612,65.553,66.506,66.889
Nauru,60.897,60.996,61.101,61.238,61.393,61.527,61.331,61.93,62.109
Nepal,67.374,68.444,68.74,69.036,69.299,69.106,68.385,70.087,70.354
New Caledonia,77.206,77.359,77.504,77.557,77.262,77.049,77.113,77.698,78.766
New Zealand,81.61243902,81.65853659,81.85853659,81.70731707,82.05609756,82.25609756,82.20731707,81.95853659,83.00487805
Northern Mariana Islands,77.36,77.392,77.47,77.51,77.844,78.03,78.16,78.531,78.808
Pakistan,65.641,65.943,66.223,66.481,66.729,65.701,65.773,67.417,67.649
Palau,69.07,69.046,69.019,68.989,68.982,68.689,68.563,68.922,69.269
Papua New Guinea,64.473,64.7,64.923,65.114,65.331,65.075,64.358,65.274,66.134
Philippines,69.45,69.49,69.966,69.761,69.68,70.097,66.675,69.472,69.833
Samoa,71.06,71.003,70.991,71.052,70.269,70.727,71.096,71.55,71.698
Singapore,82.74390244,82.84634146,83.09512195,83.29756098,83.59512195,83.54390244,83.09268293,82.89512195,82.89512195
Solomon Islands,69.323,69.501,69.652,69.806,69.981,69.258,68.89,70.409,70.528
Sri Lanka,75.99,76.136,76.239,76.485,76.698,76.928,76.278,77.3,77.483
Thailand,76.563,76.769,76.989,77.19,77.197,77.331,77.606,75.291,76.412
Timor-Leste,65.326,65.61,65.898,66.204,66.496,66.919,66.199,67.368,67.689
Tonga,71.851,71.951,72.066,72.169,72.292,72.379,72.13,72.635,72.895
Tuvalu,65.365,65.51,65.683,65.871,66.109,66.357,65.824,66.852,67.105
Vanuatu,70.163,70.397,70.5,70.626,70.783,70.385,69.952,71.302,71.477
Viet Nam,73.955,73.984,74.026,74.1,74.211,75.383,74.145,74.502,74.588
