Country Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,19700000,21600000,23900000,22000000,22600000,22700000,22700000,22800000,23000000
American Samoa,..,..,..,..,..,..,..,..,..
Australia,25800000,26600000,26700000,27600000,28000000,27000000,27300000,28700000,29100000
Bangladesh,131000000,136000000,151000000,162000000,166000000,176000000,184000000,186000000,191000000
Bhutan,675747,698373,730623,703554,729239,745137,778008,742882,751989
Brunei Darussalam,463384,523453,544732,565949,574799,536589,603486,528723,540706
Cambodia,20900000,19900000,18600000,19400000,21400000,21100000,19900000,19500000,..
China,1290000000,1360000000,1470000000,1650000000,1750000000,1720000000,1730000000,1770000000,1810000000
Fiji,965950,1040000,1030000,1020000,1030000,991500,991500,..,..
French Polynesia,268334,280111,287839,302673,318000,335000,322918,327667,..
Guam,..,..,..,..,..,..,..,..,..
"Hong Kong SAR, China",16700000,17600000,18400000,19900000,21500000,21900000,23900000,21900000,23800000
India,1000000000,1130000000,1170000000,1180000000,1150000000,1150000000,1150000000,1140000000,..
Indonesia,339000000,386000000,435000000,319000000,341000000,356000000,366000000,343000000,352000000
Japan,161000000,167000000,173000000,180000000,187000000,195000000,200000000,211000000,219000000
Kiribati,41000,52000,46123,53338,54658,54661,52632,64076,70296
"Korea, Dem. People's Rep.",3240000,3610000,3810000,..,4250000,6000000,6000000,..,..
"Korea, Rep.",58900000,61300000,63700000,66400000,68900000,70500000,72900000,77000000,83900000
Lao PDR,3730000,3960000,3710000,3660000,4640000,4640000,4820000,..,..
"Macao SAR, China",1900000,1970000,2050000,2180000,2790000,1620000,1270000,1210000,1370000
Malaysia,44100000,43500000,42300000,42400000,44600000,43700000,47200000,48000000,50100000
Maldives,739790,812128,900120,857934,828042,717708,706043,715188,744814
Marshall Islands,15500,..,16000,..,16000,16000,16000,..,..
"Micronesia, Fed. Sts.",22505,23412,23114,..,23000,22000,22000,..,..
Mongolia,3070000,3370000,3890000,4220000,4420000,4360000,4690000,4840000,4840000
Myanmar,41000000,50600000,47900000,61100000,81900000,78500000,67900000,57800000,65500000
Nauru,9400,9900,10000,..,10000,10000,10000,..,..
Nepal,27500000,32100000,36100000,39200000,38700000,38200000,38200000,..,..
New Caledonia,260277,..,..,..,260000,260000,260000,..,..
New Zealand,5600000,6100000,6400000,6320000,6010000,6240000,5850000,5950000,6560000
Northern Mariana Islands,..,..,..,..,..,..,..,..,..
Pakistan,126000000,136000000,145000000,154000000,165000000,176000000,189000000,193000000,189000000
Palau,23743,..,..,..,24000,24000,24000,24000,24000
Papua New Guinea,3560000,3780000,4020000,4300000,4540000,4820000,4820000,..,..
Philippines,118000000,120000000,120000000,135000000,167000000,150000000,163000000,166000000,135000000
Samoa,120517,151008,124211,100000,84000,69000,69000,134320,..
Singapore,8230000,8460000,8380000,8570000,9030000,8440000,8760000,9770000,9650000
Solomon Islands,424712,416572,465331,482029,478116,474000,474000,..,..
Sri Lanka,23900000,25800000,28200000,30300000,28400000,29700000,30800000,34600000,30000000
Thailand,103000000,120000000,122000000,125000000,130000000,116000000,121000000,126000000,121000000
Timor-Leste,1380000,1490000,1560000,1470000,1430000,1380000,1390000,1480000,1560000
Tonga,73493,80000,107938,107938,62104,62000,64328,..,..
Tuvalu,6600,7600,8000,8500,9000,9000,9000,..,..
Vanuatu,174818,218603,228016,251428,265219,246232,249868,255509,..
Viet Nam,120000000,121000000,120000000,141000000,136000000,139000000,135000000,137000000,131000000
