"Indicator","Economy","Unit of Measure","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","Definition","Data Coverage","Calendar Year","Base Year","Source","Footnotes"
"Labor force participation rate","Central and West Asia","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Labor force participation rate","Afghanistan","percent","...","...","...","...","...","...","...","...","...","...","...","49.8","...","55.4","...","...","...","53.9","...","...","41.90667509","...","...","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Beginning 21 March","","National Statistics and Information Authority","For 2011, 2013, 2017, and 2020: Data refer to the working-age population 14 years and older. For 2017: Data cover the period from April 2016 to April 2017. For 2017 and 2020: Different methodologies were used in surveys for labor force estimation, therefore, data are not directly comparable overtime. For 2020: Data cover the period from October 2019 to September 2020."
"Labor force participation rate","Armenia","percent","61.4","58.7","62.7","61.4","58.6","57.7","55.9","54.5","59.5","59.2","61.2","63","62.7","63.4","63.1","62.5","61","60.9","58.9","59.9","58.5","57.8","58.8","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","Statistical Committee of the Republic of Armenia","For 2000–2007: Labor force covers the population aged 16 and older. For 2008–2017: Labor force covers the population aged 15–75 years. For 2018–2022: Figures are based on the Labour Force Survey conducted adopting the concepts defined in the 19th International Conference of Labour Statisticians (19th ICLS), and hence are not directly comparable with figures prior to 2018."
"Labor force participation rate","Azerbaijan","percent","77.6","75.5","73.6","71.7","69.9","68.4","67.1","66.4","65.4","65.1","64.8","64.5","64.5","64.7","65.1","65.4","66","66.2","66.3","65.7","65.8","65.8","65.7","65.5","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Ending 31 December","","State Statistical Committee of the Republic of Azerbaijan","For 2000–2023: Data are based on the results of the 2009 population census and on the International Labour Organization's methodology. For 2015–2023: Data are based on the recommendations of the 19th International Conference of Labour Statisticians."
"Labor force participation rate","Georgia","percent","65.22968","66.22691","63.90614","64.79012","63.60183","62.73723","60.54562","60.31015","61.59809","62.67926","51.48931945","52.60822739","54.12207268","53.58997777","53.73336857","55.50041999","54.952375","54.48905576","52.90378692","51.78544217","50.47883903","50.9461196","51.910708125146","53.3","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Ending 31 December","","National Statistics Office (formerly Department of Statistics)","For 2000–2009: Data are in line with the International Labour Organization's (ILO) standards adopted at the 13th International Conference of Labour Statisticians (ICLS). For 2010–2019: Data are recalculated according to the ILO's standards adopted at the 19th ICLS. For 2020–2022: Data are compiled following the ILO's standards adopted at the 19th ICLS."
"Labor force participation rate","Kazakhstan","percent","66","70.2","70.1","70","69.9","69.4","69.7","70.4","71.1","70.7","71.2","71.6","71.7","71.7","70.7","69.7","70","69.7","70","70.1","69.2","69.3","68.7","68.5","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","Agency for Strategic Planning and Reforms of the Republic of Kazakhstan","For 2015–2023: Published according to the standards of the 19th International Conference of Labour Statisticians (ICLS)."
"Labor force participation rate","Kyrgyz Republic","percent","...","...","64.4","64","63.7","64.8","65.5","65.1","65.4","64.4","64.2","64.9","64.2","62.5","62.4","62.4","61.5","60.1","59.8","60.2","60.1","60.3","...","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","National Statistical Committee of the Kyrgyz Republic",""
"Labor force participation rate","Pakistan","percent","42.8","43.34","43.34","43.34","43.74","43.74","45.01","45.18","45.17","45.66","45.89","45.69","45.7","45.7","45.45","45.22","...","...","44.28","44.8","...","44.9","...","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Ending 30 June","","Pakistan Bureau of Statistics (formerly Federal Bureau of Statistics)","For 2000–2015, 2018–2019, and 2021: Refers to refined activity participation rates. The refined activity participation rate is the currently active population expressed as a percentage of the population aged 10 years and older. This rate enables international comparison by factoring in the effect of age composition."
"Labor force participation rate","Tajikistan","percent","55.251","55.10744","53.28557","51.65775","55.49193","54.87618","53.93463","52.73624","51.77728","51.33088","50.122","49.2926","48.92029","48.00715","47.2057","47.08723","46.23378","45.72745","45.26936","45.15572","45.64441","45.36209","45.2","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","Statistical Agency under President of the Republic of Tajikistan","For 2000–2022: Figures are as of the end of the year."
"Labor force participation rate","Turkmenistan","percent","60.5","60.6","60.7","53.19","52.918","52.166","51.582","51.034","50.359","50.131","49.78","49.246","48.897","48.611","48.348","48.211","48.089","47.966","47.857","47.753","46.482","46.154","47.802","48.064","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Ending 31 December","","2000–2002: State Statistics Committee of Turkmenistan (formerly NISSI). 2003–2023: International Labor Organization.","For 2000–2002: The labor force data series includes individuals that are not registered; hence, the sum of employed and unemployed is less than the total labor force. For 2003–2023: Data refer to International Labour Organization modeled estimates."
