Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,45.118,55.005,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,71.107,71.443,72.654,72.64,72.801,72.794,72.751,72.672,72.708,72.752,72.852,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,76.9946341463415,79.2341463414634,82.4,82.4487804878049,82.5,82.7487804878049,82.9,83.2,83.3,83.2,83.0512195121951,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,55.822,62.049,70.543,71.075,71.606,72.122,72.625,71.421,71.103,74.265,74.672,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,55.811,61.842,70.797,71.119,71.413,71.711,72.005,72.253,72.448,72.754,72.975,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,71.629,74.017,74.88,74.905,74.943,74.992,75.049,75.114,74.869,72.917,75.327,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,55.205,59.491,69.398,69.635,69.842,69.993,70.127,70.059,69.301,70.528,70.668,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,68.155,72.288,76.975,77.214,77.235,77.709,77.94,78.019,78.117,78.202,77.953,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fiji,FJI,65.056,66.194,66.48,66.657,67.06,66.965,67.009,66.924,64.904,67.148,67.316,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,French Polynesia,PYF,73.908,79,82.339,82.555,82.774,82.985,83.195,82.459,79.571,83.859,84.07,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guam,GUM,73.455,74.894,76.444,76.449,76.463,76.561,76.645,75.529,75.434,77.102,77.209,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Hong Kong SAR, China",HKG,77.3707317073171,80.8731707317073,84.2526829268293,84.2114634146342,84.6956097560976,84.869756097561,85.1558536585366,85.4963414634146,85.5326829268293,83.6609756097561,85.2473170731707,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,India,IND,58.618,62.749,69.326,69.709,70.068,70.415,70.746,70.156,67.282,71.698,72.003,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Indonesia,IDN,63.249,66.292,69.52,69.733,69.953,70.08,70.349,68.817,67.452,70.925,71.146,..
