Country Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,71.5,97.7,97.7,93.4,97.7,97.7,97.7,85.3,85.3
American Samoa,..,..,..,..,..,..,..,..,..
Australia,100,100,100,100,100,100,100,100,100
Bangladesh,74,75.9,88,86.9,92.2,96.2,99,99.4,99.5
Bhutan,95.4,99.3,97.7,100,100,100,100,100,100
Brunei Darussalam,100,100,100,100,100,100,100,100,100
Cambodia,62.7,68.8,89.1,80.7,84,86.4,82.5,92.3,95
China,100,100,100,100,100,100,100,100,100
Fiji,93.2,93.4,96,95.1,96.1,97.1,92.1,92,99.3
French Polynesia,100,100,100,100,100,100,100,100,100
Guam,100,100,100,100,100,100,100,100,100
"Hong Kong SAR, China",100,100,100,100,100,100,100,100,100
India,88,89.6,91.8,95.7,95.9,96.5,99.6,99.2,99.5
Indonesia,97.5,97.6,98.1,98.5,98.9,97,99.2,100,99.4
Japan,100,100,100,100,100,100,100,100,100
Kiribati,90.6,92.6,85.7,87.5,89.3,91,92.8,94.4,95.9
"Korea, Dem. People's Rep.",40,42.1,44.2,46.3,48.4,50.5,52.6,54.7,57.5
"Korea, Rep.",100,100,100,100,100,100,100,100,100
Lao PDR,89.7,89,93.6,92.9,98.4,99.3,100,100,96.5
"Macao SAR, China",100,100,100,100,100,100,100,100,100
Malaysia,99.9,99.9,100,100,100,100,100,100,100
Maldives,99.8,100,99.8,100,100,100,100,100,100
Marshall Islands,92.1,92.7,93.8,95.3,96.8,98.3,99.8,100,100
"Micronesia, Fed. Sts.",73,74.8,76.5,78.3,80.1,81.9,83.6,85.3,86.9
Mongolia,88,90.8,93.6,98.1,98.9,99.5,100,100,100
Myanmar,60.5,55.6,69.8,66.1,68.3,70.4,72.5,73.6,76.8
Nauru,99,99.7,99.8,99.9,100,100,100,100,100
Nepal,82,90.7,86.6,93.9,89.9,89.9,89.9,91.3,94
New Caledonia,100,100,100,100,100,100,100,100,100
New Zealand,100,100,100,100,100,100,100,100,100
Northern Mariana Islands,100,100,100,100,100,100,100,100,100
Pakistan,91,91.8,92.7,93.4,93.9,94.5,94.9,95,95.6
Palau,99.5,100,100,100,100,100,100,100,100
Papua New Guinea,18.4,13.5,19.2,16.6,23.6,20.5,20.9,19,20.5
Philippines,89.1,92,93,94.2,95.3,96.4,97.5,94.8,98
Samoa,98.2,98.9,96.8,99.8,99.2,100,98.3,98.3,100
Singapore,100,100,100,100,100,100,100,100,100
Solomon Islands,55.1,58.2,62.9,65.8,69.4,72.9,76.3,76,81.3
Sri Lanka,94.3,97.5,97.5,99.6,99.8,100,100,100,100
Thailand,99.6,99.9,99.9,99.8,99.9,100,100,99.9,100
Timor-Leste,67.3,76.5,79.5,85.2,90.6,96,100,99.7,100
Tonga,100,97,98.2,99,98.4,99.9,100,100,100
Tuvalu,98.1,97.3,98.7,99,99.7,99.4,99.7,100,100
Vanuatu,52.3,57.8,62.8,61.6,64.5,67.3,70,71.6,61.6
Viet Nam,99.3,99.2,100,100,99.4,99.8,100,100,99.8
