Country Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,8.26,11,13.5,16.8,17.6,17,16.5,17.2,17.7
American Samoa,..,..,..,..,..,..,..,..,..
Australia,84.6,86.5,86.5,90,93.6,94.7,97,97,97.1
Bangladesh,12.9,18.1,21.5,25.6,30.4,36.1,38.9,41.6,44.5
Bhutan,39.8,46.5,54.3,63.5,74.2,76.9,85.6,86.3,88.4
Brunei Darussalam,71.2,90,94.9,95,95,96.3,97.6,99,99
Cambodia,6.43,32.4,32.9,..,52.3,53.7,58,59.7,60.7
China,50.3,53.2,54.3,59.2,64.1,70.1,73.1,75.6,77.5
Fiji,42.5,49.4,53.6,58.2,63.2,68.6,74.5,78.2,79.3
French Polynesia,64.6,68.4,72.7,..,..,..,..,..,..
Guam,73.1,77,80.5,..,..,..,..,..,..
"Hong Kong SAR, China",84.9,87.5,89.4,90.5,91.7,92.4,93.1,95.6,96
India,14.9,16.5,18.2,20.1,29.5,43.4,..,55.9,..
Indonesia,22.1,25.4,32.3,39.9,47.7,53.7,62.1,66.5,69.2
Japan,91.1,93.2,91.7,88.7,92.7,90.2,82.9,84.9,87
Kiribati,14.9,19.4,25.3,33,39.6,..,..,..,88
"Korea, Dem. People's Rep.",..,..,..,..,..,..,..,..,..
"Korea, Rep.",89.9,92.8,95.1,96,96.2,96.5,97.6,97.2,97.4
Lao PDR,18.2,21.9,25.5,36.3,47,54,62,62.7,63.6
"Macao SAR, China",77.6,81.6,83.2,83.8,86.5,87.5,88.5,88,89.2
Malaysia,71.1,78.8,80.1,81.2,84.2,89.6,96.8,97.4,97.7
Maldives,54.5,59.5,65,70.9,77.5,79.1,82,83.9,84.7
Marshall Islands,19.3,29.8,38.7,43.9,49.8,56.4,64,64.8,65.7
"Micronesia, Fed. Sts.",31.5,33.4,35.3,36.6,38,39.4,..,..,..
Mongolia,22.5,22.3,23.7,47.1,51.1,62.5,81.6,82.2,83
Myanmar,10.9,16,23.6,29.4,36.5,45.4,56.5,58,58.5
Nauru,..,..,62.4,..,74.7,81.7,..,..,..
Nepal,17.6,20.7,24.3,28.6,33.3,38.9,45.3,53.9,55.8
New Caledonia,74,..,82,..,..,..,..,..,..
New Zealand,85.2,86.5,87.7,89,89.9,95.2,96.1,96.2,96.2
Northern Mariana Islands,..,..,..,..,..,..,..,..,..
Pakistan,11,12.4,13.8,15.3,17.1,18.9,21.4,24.2,27.4
Palau,..,..,..,..,..,..,..,..,..
Papua New Guinea,7.9,9.6,11.2,..,20,24.4,23.2,23.7,24.1
Philippines,36.9,39.2,41.6,44.1,43,53.8,66.9,75.2,83.8
Samoa,25.4,31.7,39.4,43.1,47.2,51.7,56.6,57.3,58.1
Singapore,79,84.5,84.5,88.2,88.9,92,96.9,96,94.3
Solomon Islands,10,11,15.1,20.9,26.3,33.2,41.8,42.1,42.5
Sri Lanka,15.3,22.2,25.1,28.3,32,36.2,44.5,48.3,51.2
Thailand,39.3,47.5,52.9,56.8,66.7,77.8,85.3,88,89.5
Timor-Leste,18.6,21.2,24.2,27.6,28,32,35,34.5,34
Tonga,38.7,40,46.2,..,..,..,57.5,57.7,58.5
Tuvalu,27.3,31,35.2,42.3,50.8,61,73.3,73.6,74.3
Vanuatu,22.4,24,30.8,34,37.5,41.4,45.7,45.7,45.7
Viet Nam,45,53,58.1,69.8,68.7,70.3,74.2,78.6,78.1
