Country Name,Country Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,2284.075848,2213.181441,2335.795862,2432.276701,2583.485332,2561.981761,2144.16657,2122.995815,2211.280635
American Samoa,ASM,..,..,..,..,..,..,..,..,..
Australia,AUS,46263.73139,47260.15299,48371.141,50183.68981,52673.06382,53984.1247,58182.33695,65871.77152,70497.15245
Bangladesh,BGD,4212.235781,4579.132287,4882.606926,5490.158819,6047.124015,6640.584373,7441.06914,8450.549025,9147.777507
Bhutan,BTN,10213.81396,11273.28238,11677.41427,11969.5615,12909.10098,12475.048,13458.81266,15063.81057,..
Brunei Darussalam,BRN,62707.82636,56679.51858,61657.68028,65148.82645,69353.67987,69787.96334,78248.79711,81801.74591,85267.55305
Cambodia,KHM,4433.643935,4748.124285,5050.063566,5616.98087,6153.994395,5942.453804,6225.532655,6917.070129,7425.511791
China,CHN,13201.67383,13882.02805,14750.36583,16006.91312,17262.1759,17891.48029,20406.72966,22509.63635,24569.28651
Fiji,FJI,11733.74297,11984.56358,12819.56348,13225.91945,13219.69755,11235.27608,10685.19698,13672.23564,15152.13764
French Polynesia,PYF,..,..,..,..,..,..,..,..,..
Guam,GUM,..,..,..,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,56043.0427,56761.48241,59260.91318,60900.27529,61221.41954,58187.47641,65884.93763,68602.27751,71548.9642
India,IND,5425.035991,5800.481494,6144.717144,6714.966399,7150.924235,6966.275428,8050.018575,9153.880842,10166.24341
Indonesia,IDN,10027.5373,10262.59517,10687.64092,11372.0972,11986.47015,11729.36745,12757.07464,14284.95942,15415.60579
Japan,JPN,40906.59457,40596.96866,41444.21574,42141.9353,42678.15114,42438.44646,44315.49799,47328.53863,49793.93582
Kiribati,KIR,2310.602418,2462.831847,2562.06483,2671.761907,2762.937119,2735.833207,3049.473801,3340.040379,3546.918188
"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,37907.50031,39575.45428,40957.41806,43044.29176,43865.04164,45142.76345,48419.64325,51231.45307,52203.96857
Lao PDR,LAO,6086.067304,6743.01054,7141.906527,7486.864527,7743.219065,7913.386607,8080.435532,8766.440626,9291.78859
"Macao SAR, China",MAC,108916.8626,107906.8157,120983.4929,129726.754,126160.4542,57220.81706,74177.78252,64373.93254,116491.07
Malaysia,MYS,24526.39427,25285.82135,26415.59602,27793.56742,28933.9283,27474.73614,29822.84918,34366.22848,36416.54019
Maldives,MDV,17875.09894,18769.50606,19767.88936,21899.4293,23077.21122,13425.36745,19052.62249,22880.51232,24735.07542
Marshall Islands,MHL,4125.161693,4366.257642,4719.313049,5232.205249,6045.062408,6136.971197,6705.875292,7332.300208,7532.174773
"Micronesia, Fed. Sts.",FSM,3346.809506,3383.797012,3459.864742,3525.344626,3717.18067,3671.613624,3921.72503,4150.409334,4313.627601
Mongolia,MNG,10458.30272,10511.38311,11096.03756,12317.48243,13604.97894,13693.17981,14792.25091,16401.98948,18004.85121
Myanmar,MMR,4458.690544,4459.539814,4706.432489,5581.276955,6101.372458,5740.990458,5178.447182,5731.937879,5953.357352
Nauru,NRU,10020.37775,10371.3963,9770.049045,9740.428512,10639.5058,10941.66367,12196.64515,13356.204,13831.81197
Nepal,NPL,2957.305591,2976.125137,3604.708259,3956.124611,4260.673732,4235.574623,4546.2297,5102.992311,5393.620902
New Caledonia,NCL,..,..,..,..,..,..,..,..,..
New Zealand,NZL,37552.7373,39946.23443,42206.92342,42499.37793,45163.69643,45283.46805,47933.58862,53049.33537,53440.13101
Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..
Pakistan,PAK,4480.263135,4630.731507,4789.536466,4979.373496,5037.534016,5048.021306,5367.273647,5920.274307,6036.650769
Palau,PLW,17685.06285,17747.60824,17461.78241,17879.4531,18227.26762,17367.2697,15663.1744,16581.02109,17531.69842
Papua New Guinea,PNG,3669.738716,3812.710351,3923.171977,3909.91573,4059.828602,3899.577192,3976.9038,4419.619272,4632.979794
Philippines,PHL,6894.267022,7382.667584,7773.798536,8357.743579,8924.101164,8238.36802,8857.789951,10131.34637,10988.63004
Samoa,WSM,5681.778128,6141.45089,6280.215005,6318.269773,6638.184547,6450.765384,6214.016928,6260.402383,6996.841921
Singapore,SGP,87156.18738,89735.16606,95628.24099,103899.6789,105542.4136,101612.0903,131864.0923,141913.2773,141553.473
Solomon Islands,SLB,2353.787282,2421.19012,2454.044223,2493.977692,2511.997887,2405.302562,2518.421624,2697.440432,2812.375764
Sri Lanka,LKA,12227.17148,13078.56051,13616.1846,14178.02254,14112.9525,12940.90451,14316.13522,14194.02256,14460.74142
Thailand,THA,15791.17148,16671.25069,17573.33982,18876.22088,19963.39184,19163.74152,20245.24241,22220.28648,23465.06314
Timor-Leste,TLS,3107.571902,3390.762216,3463.117303,3561.287705,4556.614281,6132.082882,6824.792389,5725.146172,4803.969248
Tonga,TON,5471.796834,5920.157658,6229.070288,6402.757588,6488.597535,6689.859317,7034.924838,7393.796685,..
Tuvalu,TUV,3775.747413,4030.854599,4226.711051,4431.719702,5209.691981,5122.189802,5352.973141,5661.131626,6150.999704
Vanuatu,VUT,2878.843417,2975.531208,3145.92735,3232.948258,3314.667213,3117.644253,3135.836649,3345.268102,3460.933714
Viet Nam,VNM,7671.581978,8374.506845,9169.731921,10009.97148,11029.27321,11609.31773,12048.90199,13852.11636,14973.88396
