Country Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,-0.661709165,4.383891955,4.975951506,0.626149149,2.302372515,5.601887915,5.133203408,13.71210237,-4.644708708
American Samoa,..,..,..,..,..,..,..,..,..
Australia,1.508366722,1.276990945,1.948647409,1.911400944,1.610767873,0.846905537,2.863910422,6.594096713,5.597014925
Bangladesh,6.19428023,5.513525727,5.702070157,5.543621395,5.591996399,5.691074747,5.545654308,7.696954372,9.883503038
Bhutan,4.548143951,3.219886894,4.95508367,2.723963862,2.726430374,5.629365226,7.346814405,5.639166714,4.229344199
Brunei Darussalam,-0.488347421,-0.278693266,-1.260505646,1.025051793,-0.390522069,1.940319966,1.733413885,3.682250306,0.357064312
Cambodia,1.223931955,3.019139751,2.912635574,2.459085154,1.942575008,2.940295143,2.920734776,5.343702649,2.127467966
China,1.437023809,2.000001822,1.593136001,2.0747904,2.899234164,2.419421895,0.981015136,1.973575557,0.234836829
Fiji,1.374885426,3.863225382,3.347578348,4.081476376,1.773101825,-2.595243259,0.155855722,4.520192664,2.148174406
French Polynesia,..,..,..,..,..,..,..,..,..
Guam,..,..,..,..,..,..,..,..,..
"Hong Kong SAR, China",2.990848193,2.409307439,1.493872439,2.40613432,2.883208538,0.250962021,1.568758344,1.881367072,2.096605112
India,4.906973441,4.948216341,3.328173375,3.938826467,3.729505735,6.623436776,5.131407472,6.699034141,5.649143189
Indonesia,6.363121131,3.525805157,3.80879807,3.198346416,3.03058665,1.920968006,1.560129905,4.209463834,3.670131424
Japan,0.795279631,-0.127258844,0.484199796,0.989094598,0.468776159,-0.024995834,-0.233352779,2.497702782,3.268133659
Kiribati,0.572015744,1.917310902,0.355520889,0.564030491,-1.813079953,2.553245544,2.053616768,5.345954409,9.283073745
"Korea, Dem. People's Rep.",..,..,..,..,..,..,..,..,..
"Korea, Rep.",0.706331772,0.97168574,1.944332308,1.47583935,0.383000304,0.537288023,2.498333333,5.089513651,3.59745625
Lao PDR,1.277354271,1.596912276,0.825478608,2.040392669,3.322558813,5.10407263,3.755620367,22.95622251,31.23013417
"Macao SAR, China",4.56056338,2.368957497,1.228124041,3.004462932,2.751930811,0.811410511,0.026454365,1.045028024,0.476384496
Malaysia,2.104389802,2.090566595,3.871201158,0.884709161,0.662891866,-1.138702154,2.477102415,3.378698625,2.488865601
Maldives,0.953206659,0.502509414,2.817473382,-0.133373386,0.220029731,-1.369774256,0.543149689,2.333143376,2.927465424
Marshall Islands,..,..,..,..,..,..,..,..,..
"Micronesia, Fed. Sts.",-0.298115837,-1.037468064,0.582253735,1.498400236,1.923851708,0.554594631,3.191284066,5.408743755,..
Mongolia,5.735682819,0.733272227,4.301431053,6.824247901,7.301069536,3.796040261,7.352812434,15.14795609,10.34758313
Myanmar,9.454171895,6.928825258,4.572536553,6.872328657,8.825066968,..,..,..,..
Nauru,..,..,..,..,..,..,..,..,..
Nepal,7.868908956,8.79034332,3.627096107,4.061163388,5.568685478,5.052366553,4.149680034,7.650791768,7.114759517
New Caledonia,0.570508141,0.578317436,..,..,..,..,..,..,..
New Zealand,0.292704628,0.646240284,1.850787675,1.598297038,1.619631902,1.7145617,3.941120608,7.17222476,5.73316283
Northern Mariana Islands,..,..,..,..,..,..,..,..,..
Pakistan,2.529328173,3.765119164,4.08537368,5.078057259,10.5783618,9.739993139,9.496210561,19.87385996,30.76812807
Palau,0.949040644,-1.042305334,1.417988197,2.109704641,0.267379679,0.218181818,2.612481858,12.35266384,12.81997482
Papua New Guinea,5.995957781,6.673728814,5.42204568,4.374489215,3.928672909,4.871673986,4.48359014,5.253239222,2.298699913
Philippines,0.674192537,1.253698801,2.853187726,5.309346616,2.392065344,2.393162393,3.927180221,5.821158112,5.978025155
Samoa,0.724470135,1.304718693,1.749896775,4.197458887,0.98232657,-1.568912477,3.133204732,10.96188223,7.921646848
Singapore,-0.522618167,-0.53226874,0.57626031,0.438620118,0.565260569,-0.181916667,2.30485959,6.12106004,4.821467295
Solomon Islands,-0.574469286,0.512485626,0.48868676,3.46147485,1.63485544,2.963549921,-0.115437894,5.518129286,5.88585897
Sri Lanka,3.768367831,3.958888466,7.704137679,2.135037737,3.528393582,6.153945084,7.014780712,49.72110211,16.54117423
Thailand,-0.900424963,0.188149704,0.665631893,1.063897542,0.706728601,-0.845937147,1.230395413,6.077412284,1.228026235
Timor-Leste,0.552796026,-1.338538762,0.557215537,2.63647201,0.95881274,0.495499215,3.697920947,7.005309454,8.420351033
Tonga,-1.05399832,2.578155152,7.517062836,5.03209692,1.179543348,-0.349737697,5.640511406,10.97136529,6.351129803
Tuvalu,..,..,..,..,..,..,..,..,..
Vanuatu,2.483268757,0.842069084,3.084526244,2.330963796,2.762520194,5.329350731,2.343283582,6.679305819,11.18250171
Viet Nam,0.631200905,2.66824817,3.520256888,3.539628059,2.795823675,3.220934367,1.834715548,3.1565075,3.252892827
