Country Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,..,..,..,..,..,10.42081714,14.3421528,18.3800424,16.77513628
American Samoa,63.59583952,63.93442623,59.1503268,68.23161189,61.66924266,59.22330097,44.26666667,46.95752009,..
Australia,20.06612629,19.27874425,21.25661748,21.89409054,24.159678,24.02673916,22.05667598,25.53158803,26.79924113
Bangladesh,17.33667379,13.92120448,12.81974689,12.67478794,13.09475734,10.44278806,10.6627789,12.88222643,13.15716383
Bhutan,31.53609097,27.12283395,28.44640804,29.1897192,31.45750329,28.06563551,29.19874071,25.49883997,..
Brunei Darussalam,52.2130113,49.57777708,49.57330641,51.93323994,57.94604045,57.35611139,80.16891086,86.38935692,76.53483033
Cambodia,55.98122031,56.43183772,56.30005367,55.47139736,55.44686797,59.92179794,72.36103464,72.20706068,66.89266606
China,21.35407988,19.58438005,19.69227699,19.11210354,18.40999232,18.5861392,19.94397383,20.79148307,19.74307232
Fiji,48.83675539,46.64724148,46.01556507,47.7487958,48.46090201,27.8295733,27.25332839,48.17411527,..
French Polynesia,19.61376507,19.61263411,19.55695843,20.97916875,20.59235903,11.29354817,13.10280139,21.09682259,..
Guam,18.07208139,18.96288765,18.97555297,19.25301603,22.2501967,6.406355646,3.095925569,7.887120116,..
"Hong Kong SAR, China",195.8976016,187.0051289,188.9023996,188.339507,177.6513152,176.3044824,204.0142637,194.4856872,176.7598683
India,19.81318916,19.15823491,18.79176484,19.9278286,18.6642649,18.68247693,21.39915833,23.20048784,21.8482115
Indonesia,21.16017926,19.08899385,20.17730444,21.0027465,18.5915278,17.33116828,21.41655564,24.5037442,21.74658177
Japan,17.43675984,16.05796924,17.5914391,18.3149456,17.46352643,15.5285155,18.12547664,21.54172312,21.81054458
Kiribati,13.95745187,16.6172852,13.25632352,9.05069662,14.98240674,10.31604402,3.717064042,7.24909774,7.368102447
"Korea, Dem. People's Rep.",..,..,..,..,..,..,..,..,..
"Korea, Rep.",42.98956153,40.13265091,40.93420694,41.71329084,39.27586107,36.35959055,41.8772295,48.27176422,43.99566987
Lao PDR,33.95225731,33.20942746,..,..,..,..,..,..,..
"Macao SAR, China",78.50673324,76.64148702,80.53419918,82.66996164,82.70639313,61.46806209,90.93842518,84.39017374,91.35835897
Malaysia,69.4486909,66.77544545,70.01174251,68.55497142,65.27776684,61.57793591,70.63305555,76.85018864,68.58190098
Maldives,76.42778872,71.6136331,69.0594484,66.44830065,65.51341791,48.24119956,76.09898518,82.67092564,74.38208206
Marshall Islands,44.24218835,36.49331021,39.1129153,39.72577273,37.06187205,35.48846154,46.39497876,40.81764009,38.92244504
"Micronesia, Fed. Sts.",27.06500271,28.2724,30.6008078,36.37357143,26.79413706,17.2913172,20.10051282,21.0385814,27.34536957
Mongolia,44.18405023,50.87219406,59.16667927,58.16478228,59.21723318,57.66034973,58.54886395,65.06135116,76.25711713
Myanmar,..,..,..,..,..,..,..,..,..
Nauru,71.97577699,72.58594433,60.27191807,54.46197382,60.71161628,43.602822,30.61670373,53.67763096,42.66667917
Nepal,10.21458859,8.17957804,7.812188656,7.815641022,7.779936474,6.805289826,5.119171485,6.702390866,6.955044483
New Caledonia,18.06916629,19.26548639,21.00779809,..,..,..,..,..,..
New Zealand,27.95256013,26.63981397,27.58733369,27.88390877,27.35030566,21.72857875,22.33729873,24.39482557,24.07445739
Northern Mariana Islands,52.96703297,71.70731707,69.29487179,50.73020753,42.49363868,14.78060046,6.01750547,22.26277372,..
Pakistan,9.974571017,8.736717247,8.221612469,8.581799708,9.390863379,9.298559043,9.051600462,10.54059065,10.4799366
Palau,53.14086479,49.18834755,46.36165966,41.97049412,37.9031027,23.5292488,6.770733076,13.46322507,..
Papua New Guinea,..,..,..,..,..,..,..,..,..
Philippines,27.20805724,26.67300334,29.55229086,30.21360537,28.38292001,25.20283931,25.75203492,28.38740155,26.65369179
Samoa,27.14094673,28.77802032,29.66227547,31.9656782,35.03333014,29.19595987,11.68569005,12.26638262,28.75379959
Singapore,178.3846085,164.7152132,171.8416227,178.2305047,176.3000887,181.5550811,183.0105372,185.7570329,174.3001451
Solomon Islands,40.36052049,39.72857612,38.67918018,42.12623861,36.49690192,27.93849568,27.17489083,26.28674312,..
Sri Lanka,19.89338382,19.82403604,20.22420004,21.44624861,21.82353289,15.45764245,16.92141901,21.55902302,20.53199197
Thailand,67.63669027,67.07088397,66.67283247,64.8380969,59.51889062,51.49442661,58.55223774,65.36290249,65.44769629
Timor-Leste,3.050307291,3.156422882,2.409011316,2.931531761,21.21431774,36.66621475,63.51514641,55.61205313,22.92548803
Tonga,16.94011189,21.66220439,22.17613479,21.37671365,22.76567301,20.09042226,11.08254291,11.55964101,..
Tuvalu,..,..,..,..,..,..,..,..,..
Vanuatu,46.03361914,48.86609135,47.65989735,41.59687215,50.34527687,15.69823404,9.36619786,15.30483306,..
Viet Nam,72.92285184,74.10728626,81.76252184,84.42345608,85.15758741,84.38159801,93.85020713,93.81163841,87.17673199
