Country Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,-21.91265734,-14.95019519,-18.95596123,-21.58527412,-20.17046439,-15.71830279,..,..,..
Australia,-4.312576111,-3.616312188,-3.00161155,-2.561160666,-0.020710514,1.874337483,2.610660789,0.337521409,-0.30008545
Bangladesh,1.321888719,0.351171861,-2.037566004,-2.207839121,-0.839485005,0.318940442,-3.789692599,-3.810108132,-1.646026153
Bhutan,-25.06271773,-26.41310917,-20.85469656,-18.5091514,-18.30626799,-15.50911087,-11.53131206,-27.80054726,-31.89999329
Brunei Darussalam,16.67904331,12.89390573,16.36221855,6.928231033,6.635555035,4.278874618,11.21029302,19.56671367,12.85044757
Cambodia,-6.612213487,-6.527739234,-6.156642051,-8.735823045,-7.999919234,-1.000061508,-29.60824887,-18.95759205,1.30468362
China,2.649011376,1.703300028,1.532644969,0.173667285,0.720658984,1.694171965,1.980228144,2.479474586,1.421693486
Fiji,-3.472992476,-3.606969368,-6.639070886,-8.447298457,-12.82226845,-13.85526024,-15.94824424,-17.41955369,..
French Polynesia,5.467328805,7.494274614,..,..,..,..,..,..,..
"Hong Kong SAR, China",3.317562788,3.954409376,4.577291822,3.736035658,5.85365355,6.994121895,11.83305684,10.18316853,8.491844807
India,-1.067549072,-0.527880606,-1.439488203,-2.426975458,-1.049612039,1.22362111,-1.055241668,-2.357287533,-0.895916593
Indonesia,-2.035041927,-1.819150893,-1.5946569,-2.939072915,-2.705661981,-0.418606248,0.295885915,1.001847675,-0.148899138
Japan,3.070279659,3.938091284,4.120369663,3.516618175,3.450766114,2.967586623,3.903473089,2.118019483,3.786066768
Kiribati,29.36321227,9.308788004,31.63247647,32.94665432,40.01111682,31.94577644,6.999035125,-12.00816471,-1.832603657
"Korea, Rep.",7.170246124,6.529640423,4.63508697,4.489839455,3.61361701,4.616043768,4.686905806,1.543004076,1.91626792
Lao PDR,-15.71848893,-8.702240689,-7.37970658,-9.089236034,-7.041243436,-1.603786192,2.292627809,-2.965678056,2.553295928
"Macao SAR, China",23.34245234,26.52342092,30.76521331,32.87849092,33.54240949,14.80520953,8.734384886,13.90362814,31.39456254
Malaysia,3.008918501,2.367685913,2.807870911,2.237082069,3.503886697,4.189567794,3.877476707,3.125192857,1.56542804
Maldives,-7.305880319,-23.41095573,-21.26776143,-27.8019977,-25.81688225,-35.7483019,-8.633081746,-16.86821096,-21.22170115
Marshall Islands,-3.82810869,-8.034198286,6.046083916,24.1051166,36.98278817,37.33711428,29.45647327,..,..
Mongolia,-8.162342255,-6.257482062,-10.06409768,-14.43689359,-15.21633244,-5.067324299,-13.79287509,-13.43424481,0.596631968
Myanmar,-5.216017222,-3.031749586,-7.443699786,-3.774151333,0.090215658,..,..,..,..
Nauru,-19.79264871,2.137597327,12.96126332,7.329425522,4.476750329,2.595892651,3.75845295,1.891253514,1.247030316
Nepal,10.04330839,-0.684346639,-3.56432924,-8.300805103,-5.12963069,-0.251653542,-14.52401635,-7.498672558,0.358510891
New Zealand,-2.617975229,-2.126098041,-2.809067609,-4.048213943,-2.793065021,-1.128652129,-5.836520132,-8.765456363,-6.767166673
Pakistan,-0.934446742,-2.292796607,-4.769857605,-5.295561756,-2.666773257,-0.216650638,-3.524395776,-3.258581815,-0.244214769
Palau,-8.695759279,-16.56993163,-23.41701681,-18.77896321,-29.74020547,-44.63864372,-49.09335025,-52.9862033,..
Papua New Guinea,11.20640237,13.62876125,15.90246129,13.63026972,14.3799231,14.33723527,12.57725535,14.43220783,13.61217025
Philippines,2.37094986,-0.376262662,-0.652387929,-2.559393063,-0.808557863,3.200650092,-1.50797766,-4.516057633,-2.833532814
Samoa,-1.542157717,-4.554023574,-1.070275545,2.689085139,3.732236505,-8.715821982,-13.56118903,-8.896975045,4.259950368
Singapore,18.69302229,18.03924635,18.62609501,15.7021311,15.35401316,17.48485192,19.91085226,18.8115123,17.82976033
Solomon Islands,-2.758057967,-3.537791161,-4.27498999,-2.959811462,-9.510982447,-1.631326311,-5.134741147,-13.95169295,-10.91011573
Sri Lanka,-2.211361237,-1.979723365,-2.44658579,-2.962153026,-2.070887684,-1.408137154,-3.706463424,-1.953545374,1.847993426
Thailand,6.915815172,10.50835439,9.631030192,5.619863146,7.032726403,4.182828615,-2.11799444,-3.462520166,1.439234682
Timor-Leste,14.13694826,-32.49537357,-21.39471644,-12.28461345,26.38151314,21.22961723,42.05305405,14.77299426,-0.833268209
Tonga,-10.92458439,-7.471055862,-7.168865245,-7.007059301,-3.827185765,-5.727860203,-6.248633423,-5.355101148,-5.914070962
Tuvalu,-33.59907473,29.64460041,2.072881163,60.92242098,-22.17436447,16.34972125,24.14207127,4.59319167,..
Vanuatu,-15.68444039,-9.024024199,-8.047433783,3.23643955,7.825805513,-6.362022284,-7.938916672,-12.46620293,..
Viet Nam,-0.853052855,0.243099853,-0.586095207,1.902363675,3.918243955,4.344869066,-1.262842792,0.341681184,6.011631344
