Country Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,0.952380955,0.952380955,0.476190478,0.471698105,0.943396211,0.471698105,1.415094376,0.943396211,1.421800971
American Samoa,90.95237732,91.42857361,91.90476227,91.03773499,90.56604004,87.73584747,87.73584747,91.03773499,91.94313049
Australia,76.19047546,87.61904907,77.61904907,83.49056244,78.30188751,74.52830505,75.47169495,83.01886749,79.62084961
Bangladesh,10,10.95238113,10.47619057,14.15094376,15.56603813,15.56603813,14.15094376,13.20754719,15.63981056
Bhutan,80.47618866,89.52381134,88.09523773,88.20755005,87.73584747,84.90566254,72.64151001,83.49056244,83.412323
Brunei Darussalam,93.80952454,90.95237732,89.52381134,92.45282745,88.679245,92.92453003,91.50943756,94.81131744,96.6824646
Cambodia,49.52381134,53.33333206,50.95238113,52.83018875,44.81132126,40.56603622,42.45283127,44.81132126,47.86729813
China,26.19047546,26.66666603,38.57143021,36.320755,38.20754623,27.83018875,28.30188751,29.71698189,25.11848259
Fiji,63.80952454,78.57142639,65.7142868,74.05660248,72.64151001,68.39622498,69.3396225,72.16981506,72.98577881
French Polynesia,..,..,..,..,..,..,..,..,..
Guam,71.90476227,67.14286041,70,69.3396225,76.88679504,77.35848999,77.35848999,75.47169495,78.1990509
"Hong Kong SAR, China",86.66666412,71.42857361,74.76190186,71.22641754,39.62264252,49.05660248,54.71697998,65.56604004,69.66824341
India,17.1428566,14.76190472,18.5714283,13.679245,19.3396225,18.39622688,22.64151001,24.05660439,21.32701492
Indonesia,24.2857151,32.38095093,28.09523773,26.41509438,26.88679314,28.30188751,27.35848999,25.94339561,28.90995216
Japan,87.61904907,81.42857361,87.61904907,87.26415253,83.49056244,85.37735748,84.90566254,84.90566254,81.5165863
Kiribati,72.85713959,74.76190186,75.7142868,84.90566254,89.15093994,90.56604004,90.56604004,89.62264252,90.99526215
"Korea, Dem. People's Rep.",10.95238113,21.90476227,28.5714283,35.37735748,35.37735748,33.49056625,28.77358437,30.6603775,30.33175278
"Korea, Rep.",53.80952454,52.38095093,60.95238113,65.56604004,64.62264252,66.98113251,66.50943756,66.03773499,68.2464447
Lao PDR,61.90476227,63.80952454,61.42856979,60.37735748,63.20754623,69.3396225,68.86792755,74.05660248,75.35545349
"Macao SAR, China",91.90476227,97.61904907,97.61904907,91.98113251,92.92453003,89.15093994,85.37735748,90.09433746,88.1516571
Malaysia,56.66666794,49.52381134,51.42856979,55.18867874,53.77358627,51.88679123,49.05660248,51.41509247,50.71089935
Maldives,59.52381134,60.95238113,55.23809433,51.41509247,48.11320877,57.54716873,62.73584747,67.92453003,62.55924225
Marshall Islands,84.76190186,73.80952454,85.7142868,84.90566254,92.45282745,81.13207245,80.6603775,83.96226501,93.3649292
"Micronesia, Fed. Sts.",85.23809814,88.09523773,90.47618866,94.3396225,84.90566254,88.20755005,93.86792755,94.3396225,89.57346344
Mongolia,68.57142639,72.38095093,73.80952454,73.58490753,67.92453003,71.22641754,68.39622498,62.73584747,67.29857635
Myanmar,10.47619057,18.5714283,13.33333302,11.320755,10.84905624,10.37735844,4.716980934,3.773584843,4.739336491
Nauru,88.57142639,90,79.04762268,80.6603775,73.58490753,72.64151001,72.16981506,77.35848999,82.93838501
Nepal,14.28571415,17.1428566,25.7142849,26.88679314,28.30188751,41.50943375,41.03773499,37.73584747,39.33649445
New Caledonia,..,..,..,..,..,..,..,..,..
New Zealand,99.04762268,99.52381134,98.57142639,99.05660248,97.16981506,98.11320496,96.69811249,96.22641754,96.20853424
Northern Mariana Islands,..,..,..,..,..,..,..,..,..
Pakistan,1.428571463,1.428571463,1.90476191,2.830188751,3.301886797,5.188679218,6.603773594,6.603773594,6.635071278
Palau,72.85713959,74.76190186,92.85713959,91.50943756,91.98113251,91.03773499,91.98113251,87.73584747,89.57346344
Papua New Guinea,31.4285717,26.19047546,21.90476227,23.58490562,21.22641563,23.11320686,25,21.22641563,27.01421738
Philippines,19.52380943,9.523809433,11.4285717,12.73584938,16.03773499,19.81132126,16.03773499,22.16981125,23.69668198
Samoa,91.42857361,91.90476227,90.47618866,90.56604004,91.03773499,89.62264252,89.15093994,89.15093994,90.52132416
Singapore,95.23809814,99.04762268,99.04762268,98.58490753,97.64151001,97.16981506,97.64151001,97.16981506,97.15639496
Solomon Islands,66.19047546,62.8571434,54.2857132,58.01886749,61.320755,64.62264252,63.20754623,58.01886749,60.66350555
Sri Lanka,50.47618866,46.66666794,42.38095093,41.03773499,40.09434128,44.81132126,33.01886749,17.45282936,25.59241676
Thailand,14.76190472,14.28571415,19.04761887,19.3396225,27.83018875,25.94339561,25.47169876,31.60377312,36.01895905
Timor-Leste,36.19047546,46.19047546,49.04761887,54.24528122,56.13207626,53.30188751,51.88679123,52.83018875,54.50236893
Tonga,75.7142868,78.57142639,72.85713959,75,85.84906006,87.26415253,88.20755005,88.679245,90.0473938
Tuvalu,97.61904907,97.14286041,92.85713959,97.16981506,91.98113251,93.86792755,94.3396225,92.92453003,94.31279755
Vanuatu,60.95238113,62.38095093,69.52381134,72.16981506,82.07546997,76.41509247,79.71697998,82.54717255,81.04265594
Viet Nam,50,54.2857132,54.76190567,48.58490753,49.05660248,47.16981125,42.92453003,45.75471878,45.0236969
