Country Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,17.7,20.2,19.5,18.3,18.9,18.2,20,20,..
American Samoa,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,..
Australia,9.4,9.6,9.9,9.8,10.3,11.2,12.3,..,..
Bangladesh,33.1,30.2,28.1,27,26.1,27.2,25,..,..
Bhutan,81.6,80.8,79.7,80,81,83.9,81.8,82.5,..
Brunei Darussalam,0,0,0,0,0,0,0,..,..
Cambodia,60.6,58,56.3,58.1,53,51.4,52.4,..,..
China,12.2,12.6,13.1,13.5,14.3,14.9,15.2,..,..
Fiji,32.7,27.7,28.6,25.8,26.5,31.8,29.7,28.4,..
French Polynesia,7.8,8.1,8.1,7.7,7.7,8.2,7.4,7,..
Guam,2.3,4.4,3.9,4.5,4.5,4.6,4.5,6.7,..
"Hong Kong SAR, China",0.2,0.2,0.2,0.2,0.2,0.3,0.4,..,..
India,33.4,33,32.5,32.9,33.5,36.1,34.9,..,..
Indonesia,26.6,27.8,25.2,22,19.8,21.9,20.2,..,..
Japan,6.2,6.4,6.9,7.3,7.8,8.5,8.8,..,..
Kiribati,47.5,48.1,42.5,42.3,42.2,42.2,42.2,41.9,..
"Korea, Dem. People's Rep.",22.6,24,10.2,11.9,10,11.2,14.7,..,..
"Korea, Rep.",2.7,2.6,2.8,3.2,3.2,3.6,3.6,..,..
Lao PDR,53.3,51.7,50.6,50.2,50.5,50.6,51.5,49.2,..
"Macao SAR, China",5.4,5.4,3.9,8.4,8.4,11,13.6,11,..
Malaysia,3.4,4.4,5.2,5.3,5.7,7,7.5,..,..
Maldives,1.5,1.2,1.3,1.3,1.3,1.6,1.4,1.2,..
Marshall Islands,11.7,12.1,12,12,12.1,12,12.1,12.2,..
"Micronesia, Fed. Sts.",1.7,1.9,1.7,2,2,2,2.1,2,..
Mongolia,3.5,3.4,1.8,2.1,2.3,2.9,3,..,..
Myanmar,70,68.8,59.5,59.4,58.5,59.2,62.9,..,..
Nauru,0.1,0.2,0.6,0.7,0.6,1.3,1.6,1.9,..
Nepal,85.2,79.4,76.8,75,78.2,73.1,73.7,..,..
New Caledonia,5.1,3.7,5.1,4.6,5.2,6.1,8.3,9.6,..
New Zealand,29.3,30.1,28.4,28.9,28,28.7,28.9,..,..
Northern Mariana Islands,0,0,0,0,0,0.3,0.5,0.5,..
Pakistan,45.9,43.7,42.1,43.4,45.9,42.7,41.6,..,..
Palau,0.4,0.6,0.6,0.6,0.9,0.9,0.9,0.9,..
Papua New Guinea,55.3,54.8,54.7,53.4,53.2,53.6,54.5,54.6,..
Philippines,30.8,28.6,27.8,27.6,26.9,29.1,28,..,..
Samoa,37.1,36.8,35.8,36.6,34.2,35.6,36,35.9,..
Singapore,0.7,0.7,0.7,0.8,0.9,0.9,1.1,..,..
Solomon Islands,48.6,48.7,49,48.6,48.4,49,49.1,50.1,..
Sri Lanka,51.3,45.1,45.8,47.9,46.1,49.3,48.8,..,..
Thailand,22.6,22.4,22.2,23.7,23.9,20.9,19,..,..
Timor-Leste,18,12.7,13.2,12.7,11.7,11.4,12.1,11.4,..
Tonga,1.9,2,2,1.8,1.8,1.9,1.8,2.3,..
Tuvalu,3,7.3,7,6.4,6.3,5,5,5.2,..
Vanuatu,35.6,33.1,35.7,29.7,31.6,26,24.6,25,..
Viet Nam,27.8,26.8,28.3,24.3,20.4,18.9,24.2,..,..
