Country Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,53.28514099,53.50634003,55.4021492,57.03929901,..,..,..,..,..
American Samoa,..,..,..,..,..,..,..,..,..
Australia,159.1107635,155.5943909,153.5761261,136.105545,144.0565643,137.4907379,135.5265656,133.2772675,..
Bangladesh,62.03123093,66.92324831,64.85595207,67.42136973,67.22091891,69.01357086,70.29333286,71.82198326,71.49470683
Bhutan,85.19419098,85.68351746,86.61470032,87.52884674,..,..,90.80357882,89.98954939,..
Brunei Darussalam,96.33609009,93.40859985,91.6632309,91.49577332,89.64858246,86.95726277,89.12289769,88.37986161,88.82811313
Cambodia,..,..,49.15361932,51.36831978,52.30810599,54.83575058,57.95988469,58.74240327,60.06142521
China,..,..,..,..,..,..,..,..,..
Fiji,87.76124379,88.79461054,..,91.20168446,90.68259025,90.11904144,92.154073,93.08231921,95.90804714
French Polynesia,..,..,..,..,..,..,..,..,..
Guam,..,..,..,..,..,..,..,..,..
"Hong Kong SAR, China",107.4316864,107.7970963,106.8375702,108.2101669,105.1071396,100.4851913,100.1977768,102.0039063,..
India,74.94833374,76.11998749,74.59726715,75.78479004,75.52558136,77.62715518,80.62463969,81.17786118,78.86395859
Indonesia,88.78228771,88.56449209,91.5816468,93.43093639,95.78369057,98.04430136,99.09683228,98.97173063,97.16547111
Japan,102.2004166,101.1679993,101.8828888,102.425148,102.6700668,102.8448029,102.1553802,102.3379669,..
Kiribati,..,..,..,..,..,..,86.41155243,87.52088165,93.24272156
"Korea, Dem. People's Rep.",95.95696259,..,..,..,..,..,..,..,..
"Korea, Rep.",98.59319305,98.71795654,99.10558319,99.31865692,98.38130188,97.08882141,98.09515381,97.91619873,..
Lao PDR,62.41924507,64.87961755,66.12477843,66.19438099,64.99031655,62.42852138,59.82907059,56.88324421,54.5020093
"Macao SAR, China",100.9664383,99.46366882,97.42198944,92.71080017,90.66899109,88.57717896,88.54808044,90.22118378,92.58103943
Malaysia,84.55256653,83.69664001,83.71385193,79.6654892,80.59307861,78.58309937,80.27090865,84.54250412,85.50961919
Maldives,..,..,..,76.41825867,70.76908112,..,..,72.53594967,80.2538787
Marshall Islands,88.45281219,93.14141083,..,..,110.421463,113.3650589,117.9795914,116.0751572,..
"Micronesia, Fed. Sts.",..,..,..,..,..,..,..,..,..
Mongolia,..,..,..,91.14496608,89.15584236,95.98926577,99.79595587,97.63020371,99.12152833
Myanmar,..,67.00341034,71.26007843,75.64698029,..,..,..,..,..
Nauru,..,77.01863098,..,..,86.36036682,77.84722137,..,89.92298126,88.49230957
Nepal,68.92825317,71.81790161,73.94235229,..,79.31681824,84.58850098,83.516219,83.92280769,89.55136356
New Caledonia,..,..,..,..,..,..,..,..,..
New Zealand,114.8899918,113.687912,112.9433136,112.4110794,120.2663193,116.8931885,117.5954285,114.7749329,..
Northern Mariana Islands,..,..,..,..,..,..,..,..,..
Pakistan,35.17425222,36.35336799,35.85267618,37.74951303,39.616654,..,41.85523453,42.35868532,..
Palau,..,..,..,..,..,150.8185425,97.35414124,85.68534774,93.88851578
Papua New Guinea,..,..,..,44.41078186,..,..,..,..,..
Philippines,86.64094709,87.1297235,84.50405884,82.0352411,87.57078406,89.2450875,87.13151761,93.66533397,92.86501578
Samoa,84.08760069,84.45225085,..,..,..,..,..,..,..
Singapore,107.7813505,107.8590088,107.5746002,105.8442993,104.7149582,103.1995926,103.0418777,103.0413132,..
Solomon Islands,..,..,..,..,..,..,..,..,..
Sri Lanka,94.79275949,94.20899047,94.26805817,96.13187574,..,..,91.01355597,89.48251709,..
Thailand,126.0359879,124.4461212,109.5026392,109.7327238,109.3787432,108.7791831,102.9410305,101.8749338,109.85493
Timor-Leste,73.05784377,77.54676148,81.14811346,83.10188889,85.31665611,85.21185617,..,..,..
Tonga,103.2612248,..,..,..,96.09330909,90.463998,100.2860519,96.99671806,98.55689177
Tuvalu,88.835289,79.3079071,..,80.42835999,81.11110687,77.38619995,90.00718689,91.31652832,85.17006683
Vanuatu,53.39009094,..,..,..,..,54.32746887,57.86408997,75.42296104,117.0839975
Viet Nam,88.19828302,88.63878817,88.95685295,90.63531095,93.15377844,93.78994768,96.06674285,97.24947611,..
