Country Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,..,..,11.184,..,..,11.71,5.679,..,..
American Samoa,..,..,..,..,..,..,..,..,..
Australia,6.055,5.711,5.592,5.345,5.143,6.394,5.023,3.728,3.668
Bangladesh,..,4.35,4.372,..,..,..,..,4.593,..
Bhutan,2.45,..,..,3.35,2.72,5.03,4.804,5.947,3.126
Brunei Darussalam,..,..,9.316,8.7,6.6,7.409,4.905,5.191,5.296
Cambodia,0.393,0.716,0.141,..,0.499,0.172,0.396,..,..
China,..,..,3.9,4.93,5.15,5.61,5.11,..,..
Fiji,..,4.32,..,..,..,..,..,..,..
French Polynesia,..,..,..,..,..,..,..,..,..
Guam,6.9,5.4,..,..,..,..,..,..,..
"Hong Kong SAR, China",3.314,3.392,3.124,2.805,2.917,5.808,5.174,4.318,2.949
India,..,..,..,7.652,6.51,7.859,6.38,4.822,4.172
Indonesia,4.514,4.301,3.783,4.387,3.59,4.255,3.827,3.462,3.308
Japan,3.385,3.132,2.822,2.467,2.351,2.809,2.809,2.615,2.6
Kiribati,9.335,..,..,..,8.557,10.971,..,..,..
"Korea, Dem. People's Rep.",..,..,..,..,..,..,..,..,..
"Korea, Rep.",3.546,3.65,3.653,3.824,3.746,3.931,3.639,2.857,2.675
Lao PDR,..,..,3.269,..,..,..,..,1.209,..
"Macao SAR, China",1.81,1.939,1.981,1.803,1.73,2.542,..,..,..
Malaysia,3.1,3.44,3.41,3.3,3.26,4.54,4.64,3.93,..
Maldives,..,5.771,..,..,4.562,..,..,..,..
Marshall Islands,..,..,..,..,6.342,..,9.823,..,..
"Micronesia, Fed. Sts.",..,..,..,..,..,..,..,..,..
Mongolia,4.861,7.235,6.359,5.377,9.024,6.413,7.871,5.954,5.178
Myanmar,0.766,..,1.356,0.767,0.407,1.476,..,..,..
Nauru,..,..,..,..,..,..,5.056,..,..
Nepal,3.1,..,10.66,..,..,..,..,..,..
New Caledonia,..,..,11.676,11.702,10.881,13.558,..,10.71,..
New Zealand,5.415,5.147,4.736,4.335,4.109,4.595,3.776,3.297,3.731
Northern Mariana Islands,..,..,..,..,..,..,..,..,..
Pakistan,3.566,2.286,..,4.083,4.83,..,6.338,..,..
Palau,..,..,..,..,..,0.765,..,..,..
Papua New Guinea,..,..,..,..,..,..,..,2.689,..
Philippines,3.068,2.695,2.552,2.338,2.237,2.522,3.398,2.598,..
Samoa,..,..,9.4,..,..,..,..,5.048,..
Singapore,3.79,4.08,4.2,..,3.1,4.1,4.64,3.591,3.444
Solomon Islands,..,..,..,..,..,..,..,..,..
Sri Lanka,4.519,4.243,4.046,4.318,4.67,5.365,4.981,4.528,..
Thailand,0.597,0.688,0.83,0.766,0.716,1.099,1.215,0.94,0.733
Timor-Leste,3.678,4.657,..,..,..,..,2.344,1.537,..
Tonga,..,1.054,..,2.248,..,..,2.111,..,..
Tuvalu,..,8.489,26.553,..,..,..,..,7.318,..
Vanuatu,..,..,..,..,5.445,4.046,..,..,..
Viet Nam,1.849,1.848,1.874,1.161,1.681,2.103,2.385,1.523,1.645
